customer_id,age,income,time_spent,purchase_amount,purchase_date,product_category
4040,29.0,39917.42652696672,7.0865324806511305,20.0,2023-12-16,Groceries
3816,29.0,96352.73577347757,4.139752794605651,10.0,2023-07-18,Groceries
849,29.0,44687.90879427789,9.487005546440793,30.0,2023-12-24,Electronics
4864,34.0,10000.0,4.9362201367871705,10.0,2023-02-18,Electronics
80,22.0,21526.34726232154,9.330135671613073,30.0,2023-03-09,Clothing
2481,34.0,76051.80793572463,9.451177220556563,30.0,2023-08-31,Home
3540,22.0,55910.23383180678,7.521141946139165,20.0,2023-04-12,Clothing
2499,25.0,12006.594382822375,16.688628878659962,50.0,2023-01-07,Home
4594,34.0,64198.65496294475,10.382623028728938,30.0,2023-05-27,Clothing
4303,45.0,35897.78959668079,9.314808895385823,30.0,2023-08-09,Home
765,,78138.69491783502,3.8812682374030163,10.0,2023-02-18,Home
34,60.0,53831.54792388179,7.110311191453326,20.0,2023-12-13,Electronics
2374,34.0,64326.801610808216,3.4421047149916593,10.0,2023-03-18,Health
2971,34.0,36269.22493692462,46.8545374790524,150.0,2023-08-19,Health
1774,25.0,41484.887906968186,31.402110931472496,100.0,2023-12-11,Groceries
684,45.0,75230.38505071032,10.259000267459513,30.0,2023-07-30,Health
3780,60.0,78763.38402291403,7.0303007250991465,20.0,2023-05-07,Clothing
255,22.0,71946.00375087417,3.652351331224315,10.0,2023-12-11,Groceries
2723,45.0,35600.209335561216,15.406408311423828,50.0,2023-02-21,Groceries
3756,22.0,21821.617946189508,10.60110041047352,30.0,2023-11-24,Groceries
4536,29.0,18969.251580637465,10.05454089365158,30.0,2023-02-15,Home
3734,29.0,35150.26444460801,4.366820759134074,10.0,2023-05-30,Clothing
1778,34.0,11901.110919787221,9.417247274830508,30.0,2023-07-28,Electronics
1616,45.0,70977.28283750724,61.23764807656962,200.0,2023-04-23,Clothing
3654,22.0,36783.315283797085,3.8167998377290497,10.0,2023-09-12,Health
4559,60.0,100108.97810713787,45.49761158107129,150.0,2023-06-21,Clothing
498,22.0,60002.86066227767,6.665577131188052,20.0,2023-08-13,Electronics
4995,22.0,30229.41984268199,9.919996049089896,30.0,2023-10-14,Health
997,60.0,69653.66285539883,61.38226937212484,200.0,2023-10-31,Electronics
3743,45.0,69887.03039630847,6.950086943675773,20.0,2023-03-24,Electronics
241,60.0,33072.805602260545,3.4145251294202916,10.0,2023-06-14,Groceries
4548,29.0,35530.267551604,7.218211000745759,20.0,2023-02-08,Electronics
2182,22.0,54207.34227081774,3.441396157916838,10.0,2023-04-29,Clothing
334,22.0,47974.38562596934,,,2023-12-11,Groceries
2896,60.0,14590.37724447844,8.04613905739676,20.0,2023-10-24,Clothing
2943,34.0,53605.89761006889,6.897862630216468,20.0,2023-12-01,Clothing
