customer_id,age,income,time_spent,purchase_date,product_category,purchase_amount
4040,45,39917.42652696672,9.325679743632755,2023-05-23,Groceries,185.54051592115147
3816,45,96352.73577347757,21.246313083345584,2023-05-20,Clothing,396.9019802556317
849,29,44687.90879427789,8.835461751778778,2023-06-09,Groceries,174.67631034597406
4864,34,10000.0,6.400452174797091,2023-09-28,Clothing,109.61410155843146
80,22,21526.34726232154,6.1778079844522,2023-03-08,Groceries,80.82231071251981
2481,34,76051.80793572463,18.16290599330397,2023-01-15,Groceries,339.09197850396356
3540,22,55910.23383180678,12.007934309119108,2023-09-11,Groceries,227.48205046522554
2499,25,12006.594382822375,6.811369008635741,2023-02-05,Groceries,118.88992925655666
4594,34,,14.43103757930135,2023-02-02,Groceries,259.1376477020116
4303,60,,12.102485839851632,2023-07-15,Groceries,231.70263751948082
765,22,,14.799103846361046,2023-03-17,Groceries,276.6044453508148
34,25,53831.54792388179,13.673957794316994,2023-09-16,Groceries,243.92379562872586
2374,29,64326.801610808216,12.111164659729518,2023-12-19,Groceries,224.2258519358928
2971,29,36269.22493692462,,2023-10-12,Groceries,187.71534785118993
1774,25,41484.887906968186,10.424855863278683,2023-09-04,Groceries,186.0269916756634
684,45,75230.38505071032,17.733013527819633,2023-01-16,Groceries,326.38068751392825
3780,,78763.38402291403,17.489659832803802,2023-02-12,Groceries,338.8678163641667
255,34,71946.00375087417,16.92858345669275,2023-06-09,Groceries,297.9970292249503
2723,60,35600.209335561216,12.913127563680705,2023-05-29,Groceries,236.68305814009867
3756,34,21821.617946189508,7.0390868464353975,2023-04-20,Groceries,137.46145575618547
4536,45,18969.251580637465,8.897627696292883,2023-09-17,Groceries,144.45489834888573
3734,29,35150.26444460801,7.553698062261483,2023-10-28,Groceries,144.50067549399625
1778,29,11901.110919787221,6.803622784160162,2023-06-14,Clothing,114.11696844928088
1616,45,70977.28283750724,16.987222190617146,2023-07-01,Groceries,315.85329819876273
3654,34,36783.315283797085,10.941221652694649,2023-02-04,Groceries,195.33390474148905
4559,25,100108.97810713787,18.031047131915923,2023-09-10,Groceries,343.9631912348581
498,22,60002.86066227767,11.747696011629003,2023-02-22,Groceries,204.01477255089188
4995,22,30229.41984268199,7.03153793739699,2023-08-18,Groceries,113.57565654975093
997,25,69653.66285539883,12.447066298607139,2023-05-02,Groceries,233.83516912594465
3743,60,69887.03039630847,16.512658963904578,2023-10-27,Groceries,317.6877675753688
241,,33072.805602260545,8.588296052226879,2023-05-22,Groceries,125.90679905598361
4548,45,35530.267551604,10.16076569365178,2023-03-12,Groceries,176.70153085600037
2182,34,54207.34227081774,13.401677108148075,2023-11-06,Groceries,245.67130999381334
334,,47974.38562596934,9.243944255522676,2023-02-11,Groceries,172.0388053986567
2896,60,14590.37724447844,9.387709574433472,2023-02-10,Groceries,176.61287271493686
2943,34,53605.89761006889,13.114448740544015,2023-07-09,Home,250.36215766266696
1273,60,57207.867900361605,15.84675564787968,2023-04-06,Electronics,303.4534085492655
3863,29,46788.807809964055,8.771577093003854,2023-03-23,Groceries,172.45419305008588
1920,29,74560.6041921627,15.671015949742097,2023-09-09,Groceries,299.94454555501795
556,29,71536.9628931536,14.639114616956665,2023-11-27,Groceries,265.00078235447376
1966,45,10000.0,3.5371433416603386,2023-01-04,Home,70.45303187457034
625,45,67049.372868659,13.86972153352447,2023-03-28,Electronics,254.99373457172416
3128,22,10000.0,3.746220821846462,2023-01-17,Groceries,39.87104887167777
492,45,38768.84507338749,10.651938004882986,2023-08-04,Groceries,201.96837275810174
24,29,error,13.14029554155417,2023-10-14,Groceries,232.74789504887363
4793,22,18612.208092506327,6.449510269904993,2023-09-10,Groceries,93.44935783032453
502,29,63604.604168352584,13.543242761265454,2023-09-07,Groceries,262.3830884983716
1406,29,10000.0,5.161485602357372,2023-06-16,Home,74.10915961971223
1922,22,14121.57773616074,5.011851114685847,2023-05-05,Groceries,79.67972690942395
240,34,,8.902009544655767,2023-01-26,Groceries,155.7705617084552
4642,34,62594.79028817476,13.289748222781189,2023-10-19,Groceries,237.0981049044725
4012,29,22204.397136146617,5.917963262423198,2023-06-02,Groceries,113.4550867053519
2099,60,69081.70204313257,17.530937161764868,2023-10-23,Groceries,332.7810689155012
2227,34,46760.90366117345,10.673739169591359,2023-03-17,Health,210.88548154270552
1871,60,54379.278317119504,11.6217256845904,2023-06-25,Health,226.63066673072984
1339,22,37178.37466923289,11.056379380080973,2023-04-25,Groceries,191.79420989699975
3324,45,36867.518584005906,12.135168775730229,2023-05-30,Groceries,224.16534065973124
2395,60,63818.219147843854,17.998980821053166,2023-02-18,Groceries,329.7869372066351
2415,29,92916.49850152977,18.80234620814282,2023-11-17,Groceries,343.2045165791345
4539,22,43564.94592019583,9.211937774608845,2023-05-07,Groceries,156.29212928401523
430,22,39079.16402366557,10.853684322156957,2023-04-28,Groceries,181.47351171902446
4255,34,62873.37506044982,14.136374833625009,2023-09-17,Groceries,253.48322751946256
3705,25,12539.88338138759,6.894618488792625,2023-11-19,Clothing,115.89388595966219
