customer_id,age,income,time_spent,purchase_date,product_category,purchase_amount
4040,64,42591.34797179121,4.188185564162183,2023-12-22,Groceries,239.66689203489443
3816,47,27624.67674372307,3.338206386958089,2023-10-08,Groceries,200.09983585651878
849,30,24049.80720035539,3.2659712420338964,2023-09-10,Groceries,216.2195638852185
4864,69,49175.12586721893,6.818717832769302,2023-10-14,Groceries,280.4571231004356
80,53,70110.70451949119,4.080496765061023,2023-06-13,Groceries,228.48913788759384
2481,24,44916.912946603006,2.8182637431226754,2023-10-07,Groceries,99.77325098561138
3540,30,,3.3317879903379986,2023-11-16,Groceries,168.62156062813034
2499,59,52253.153775012914,3.238122971067477,2023-10-28,Groceries,146.5379889542345
4594,49,33296.847902749854,2.195893595589374,2023-04-12,Groceries,75.25993153848073
4303,,33389.75403444917,2.6145751278759226,2023-02-01,Groceries,243.41558437048488
765,33,44394.617910728666,4.096062268272463,2023-08-13,Groceries,176.67677986326632
34,45,84238.74391634061,3.3968400636494094,2023-03-03,Groceries,191.39543900556413
2374,30,47273.38315068632,2.543685596259903,2023-01-23,Groceries,163.11275730926442
2971,49,58924.0367257896,4.282012699747679,2023-07-28,Groceries,223.4406443507266
1774,52,42574.50574771494,2.2719915617193167,2023-01-30,Clothing,185.00455190431262
684,57,40480.227952272646,4.3446237002249575,2023-08-03,Groceries,235.62853489090597
3780,36,70450.25587392032,4.896333047560062,2023-10-11,Groceries,171.36893456458262
255,65,73227.97574862812,5.359151816875652,2023-04-06,Health,303.9740734588514
2723,,,4.429301053405421,2023-05-25,Groceries,207.3038489594024
3756,56,42087.992535085854,4.026895216212303,2023-11-11,Groceries,201.57860473376977
4536,34,47181.48152202374,3.815385830224277,2023-08-17,Groceries,170.32283139370384
3734,,67303.13100240525,3.8543176704532383,2023-10-08,Clothing,268.76121875573386
1778,42,18568.438426416444,2.6767304567978822,2023-12-06,Groceries,196.0444714473874
1616,32,92969.65698297552,5.317323055813317,2023-01-03,Health,251.1020439748291
3654,46,28129.354270806547,2.7547472422709123,2023-02-02,Groceries,169.93391254042973
4559,46,81958.11720392817,3.8419765513885995,2023-11-23,Groceries,173.65752936415532
498,57,60668.017024751236,3.324794544862944,2023-05-02,Groceries,199.77103922201752
